customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
74924294,Anvi Contractor,patrick62@example.org,+919082020104,"H.No. 88, Kalita Circle, Ranchi 952943",Hyderabad,172072,2024-06-16,Premium,14,560.54
84546788,Priya Wable,rmanne@example.net,+912529147004,"H.No. 918, Lalla Nagar, Akola 962855",Orai,904151,2023-03-08,Inactive,8,1436.46
54290117,Qasim Baral,sidhusanaya@example.org,+918238554788,"626, Bhatt Road
Singrauli-432467",Parbhani,791869,2023-12-21,Premium,20,1865.32
22880814,Darika Lala,nsalvi@example.net,+915617472062,"69/54, Gala Road, Muzaffarpur-085654",Kishanganj,046781,2024-06-19,Premium,2,226.82
93202865,Darsh Sur,subramaniambhavani@example.org,+911866294411,"395
Pall Zila, Etawah 720860",Begusarai,831118,2024-03-04,Inactive,2,460.96
41709672,Pahal Taneja,tanay35@example.net,+914437594520,"372, Devi Nagar
Davanagere-362327",Ambala,662338,2024-10-16,Inactive,9,433.27
16724944,Varenya Hans,daksh78@example.com,+914248910236,"H.No. 611, Chatterjee Nagar
Maheshtala-326795",Thrissur,069100,2025-03-11,New,1,501.14
64264771,Riya Thakur,owenjohal@example.org,+911048778021,"729, Reddy Ganj
Amritsar 162015",Patiala,486359,2023-12-16,Premium,7,1788.02
79121549,Liam Mitra,shauryasule@example.org,+914361720128,"08/91
Shere Circle
Dhanbad 165776",Berhampore,649758,2023-01-29,Regular,1,1229.62
22177130,Samesh Ramanathan,jairajranganathan@example.net,+918115196478,"71
Ravi
Rajkot-960175",Amravati,719419,2023-09-18,Regular,3,514.22
7222824,Yagnesh Sane,yashvi96@example.net,+919364023654,"H.No. 78
Ratta Chowk
Khandwa-181090",Davanagere,390672,2024-10-10,New,11,1720.57
48716626,Hitesh Misra,pbadami@example.org,+912913184412,"73/337, Khanna Circle
Rampur 345149",Jamalpur,402097,2023-06-18,Premium,4,914.53
34272108,Unni Modi,jbawa@example.com,+919418938260,"H.No. 56, Rai Street, Phusro-444399",Kochi,552742,2024-04-15,Premium,16,599.19
92148708,Lopa Hora,ghoseurvi@example.org,+918422053064,"08/471, Cheema Circle, Buxar-918866",Panipat,306849,2025-07-22,Regular,9,1314.16
45216144,Yash Mody,andrew18@example.com,+919769933153,"71/29, Raju Nagar, Etawah 520616",Gangtok,001834,2023-02-13,Regular,8,1496.98
82522748,Yahvi Sethi,jananiyogi@example.com,+912523794756,"53
Borra Path, Malda-161820",Madhyamgram,682549,2023-05-24,Regular,6,543.6
30560408,Madhavi Rajan,xdasgupta@example.org,+913126622317,"29/61, Pillai Road, Rajahmundry 571422",Tadipatri,424730,2025-05-19,Premium,6,1227.73
98585872,Mekhala Acharya,bnagarajan@example.org,+915879119948,"53, Kulkarni Circle, Bharatpur-772341",Bhopal,906329,2024-05-21,Regular,3,1834.72
27105138,Abhimanyu Brahmbhatt,arin56@example.org,+913814517805,"089
Raghavan, Jalna 096439",Bhubaneswar,591539,2025-04-04,Inactive,6,1311.85
