customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
27251242,Chatresh Wali,sarkargunbir@example.net,+919199829956,"256, Mukherjee Circle
Chinsurah 452806",Amravati,218176,2025-09-02,New,7,924.67
47563715,Jai Verma,watikatrivedi@example.com,+917174076346,"233
Madan Marg, Guna-968859",Chinsurah,873161,2023-10-02,Inactive,16,750.69
87870413,Wazir Yogi,pandeyeesha@example.com,+916855983769,"83/42, Mani
Imphal-779700",Nashik,886674,2023-11-01,Regular,2,1993.39
39049756,Jackson Hayre,acharyachampak@example.org,+919007473863,"76, Banerjee Road, Latur-778633",Sri Ganganagar,167149,2025-01-09,Premium,4,704.02
18940500,Amara Sachdev,shuklazayan@example.com,+916132040174,"H.No. 90
Aggarwal Ganj, Patna 501122",North Dumdum,087904,2025-10-03,Inactive,12,1374.7
23793981,Rishi Nadig,barmanagastya@example.net,+911885671486,"098
Saha Road, Etawah-058936",Guntur,342553,2023-03-01,Inactive,6,202.85
43802600,Wahab Malhotra,purohitomkaar@example.com,+910269096513,"19/449, Bhagat
Rampur 458337",Kharagpur,681866,2023-07-17,Premium,20,215.26
8977431,Eta Chaudry,ishita54@example.com,+911946208200,"H.No. 947
Sood Ganj, Karnal-966708",Dharmavaram,973407,2023-11-12,New,9,908.76
18315976,Chaitanya Khurana,naveen45@example.com,+918925150997,"H.No. 79, Bhatt Ganj
Ulhasnagar-408039",Gaya,154883,2023-05-30,New,13,1671.41
47958817,Mahika Dhawan,bhatiaamol@example.org,+917949774575,"H.No. 73, Chad Street, Warangal-814104",Kurnool,556166,2025-01-05,Premium,1,1165.88
96342774,David Bhasin,davidchopra@example.net,+911524002996,"93/026, Krishna Zila, Hindupur 882343",Baranagar,551378,2025-06-14,Premium,18,1340.45
63678131,Harish Menon,urvashi25@example.com,+912260175343,"H.No. 83, Baria Circle, Siwan-092957",Tinsukia,246087,2024-10-18,Premium,19,1370.53
49590018,Janya Kakar,sai21@example.net,+910532525478,"H.No. 54, Garg Nagar
Ozhukarai-701464",Asansol,099757,2023-03-15,Regular,18,1528.16
81442232,Isha Nazareth,doctormaanav@example.net,+911055328266,"824
Mallick Marg
Nanded 735264",Thiruvananthapuram,477110,2025-09-07,Inactive,15,1885.42
56871812,Yashoda Deshpande,ikshitamodi@example.net,+917386338165,"99/64, Garde Road
South Dumdum-537633",Aligarh,987566,2024-12-23,New,14,1069.81
53049172,Laksh Bala,imaranshere@example.net,+918419972616,"005, Nayak Chowk, Bhiwandi 274657",Begusarai,226313,2023-02-22,Regular,7,496.23
75262651,Theodore Lalla,jkumar@example.com,+918224179108,"882
Ravel Zila
Malegaon 558515",Thrissur,602043,2023-10-17,Regular,5,1471.79
68014947,Yagnesh Kannan,mugdha85@example.net,+911041861439,"H.No. 269, Kala Zila
Secunderabad-198432",Bareilly,080341,2024-04-19,Inactive,10,1941.73
65837917,Januja Sagar,simongoel@example.com,+913975107296,"60/741
Roy Ganj
Barasat 622733",Naihati,298076,2025-07-01,Regular,19,1096.0
11544187,Jeremiah Mohan,indira42@example.org,+918552326143,"25/96, Loyal Nagar, Shahjahanpur-448801",Mira-Bhayandar,182538,2023-11-22,Inactive,13,1571.38
174029,Gunbir Parmar,chaitalybalan@example.org,+915022088295,"91/52, Golla Road, Dindigul 212507",Madurai,267472,2025-04-28,New,15,1046.49
17124353,Hemani Srinivas,dugarchaitaly@example.net,+917102299535,"94/45, Kala Street
Pune 859743",Phagwara,758519,2025-06-19,New,2,1976.9
12364295,Noah Nadig,lbhavsar@example.com,+910393394616,"H.No. 38
Bumb Road
Alwar-359325",Aligarh,829106,2023-12-09,Premium,3,338.32
